x,y,z,u,s,Delta-y l,Delta-y r,Delta-z l,Delta-z r
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,4.06E-06,-2.95E-06,-8.30E-06,-5.02E-06
0.9966443,0.00E+00,0.00E+00,0.00E+00,0.5,3.59E-05,-2.65E-05,-7.54E-05,-4.57E-05
1.993289,0.00E+00,0.00E+00,0.00E+00,1,1.47E-04,-1.11E-04,-3.17E-04,-1.94E-04
2.989933,0.00E+00,0.00E+00,0.00E+00,1.5,3.70E-04,-2.89E-04,-8.26E-04,-5.13E-04
3.986577,0.00E+00,0.00E+00,0.00E+00,2,6.51E-04,-5.26E-04,-1.50E-03,-9.57E-04
4.983222,0.00E+00,0.00E+00,0.00E+00,2.5,8.69E-04,-7.12E-04,-2.06E-03,-1.36E-03
5.979866,0.00E+00,0.00E+00,0.00E+00,3,9.56E-04,-7.39E-04,-2.26E-03,-1.56E-03
6.97651,0.00E+00,0.00E+00,0.00E+00,3.5,9.73E-04,-6.09E-04,-2.15E-03,-1.51E-03
7.973155,0.00E+00,0.00E+00,0.00E+00,4,1.02E-03,-4.58E-04,-1.95E-03,-1.31E-03
8.969799,0.00E+00,0.00E+00,0.00E+00,4.5,1.10E-03,-4.57E-04,-1.78E-03,-1.10E-03
9.966443,0.00E+00,0.00E+00,0.00E+00,5,1.17E-03,-6.64E-04,-1.62E-03,-9.41E-04
10.96309,0.00E+00,0.00E+00,0.00E+00,5.5,1.15E-03,-9.74E-04,-1.39E-03,-8.50E-04
11.95973,0.00E+00,0.00E+00,0.00E+00,6,1.11E-03,-1.22E-03,-1.12E-03,-7.80E-04
12.95638,0.00E+00,0.00E+00,0.00E+00,6.5,1.12E-03,-1.30E-03,-8.87E-04,-6.68E-04
13.95302,0.00E+00,0.00E+00,0.00E+00,7,1.23E-03,-1.28E-03,-7.36E-04,-4.94E-04
14.94966,0.00E+00,0.00E+00,0.00E+00,7.5,1.41E-03,-1.27E-03,-6.66E-04,-3.21E-04
15.94631,0.00E+00,0.00E+00,0.00E+00,8,1.56E-03,-1.32E-03,-6.87E-04,-2.77E-04
16.94295,0.00E+00,0.00E+00,0.00E+00,8.5,1.62E-03,-1.36E-03,-8.48E-04,-4.57E-04
17.9396,0.00E+00,0.00E+00,0.00E+00,9,1.59E-03,-1.26E-03,-1.16E-03,-8.13E-04
